lon,lat,ele,time,day
19.03912198729813,49.769771033897996,671.8,12:11:21,2015-09-17
19.039171021431684,49.76978000253439,671.0,12:11:22,2015-09-17
19.039328014478087,49.769811015576124,668.2,12:11:23,2015-09-17
19.039453994482756,49.76980296894908,666.8,12:11:24,2015-09-17
19.039561031386256,49.76978695951402,665.9,12:11:25,2015-09-17
19.039663961157203,49.769792994484305,665.0,12:11:26,2015-09-17
19.039758006110787,49.7697879653424,664.6,12:11:27,2015-09-17
19.039845010265708,49.769772961735725,664.5,12:11:28,2015-09-17
19.03993796557188,49.76977698504925,663.8,12:11:29,2015-09-17
19.040027987211943,49.769769022241235,663.5,12:11:30,2015-09-17
19.040122032165527,49.76977497339249,662.8,12:11:31,2015-09-17
19.040221022441983,49.76976399309933,662.5,12:11:32,2015-09-17
19.040308026596904,49.76978695951402,661.3,12:11:33,2015-09-17
19.040403999388218,49.769773967564106,661.1,12:11:34,2015-09-17
19.04051698744297,49.769773967564106,660.4,12:11:35,2015-09-17
19.04068596661091,49.76977597922087,659.2,12:11:36,2015-09-17
19.040831979364157,49.76976298727095,658.7,12:11:37,2015-09-17
19.04096500016749,49.769749995321035,658.2,12:11:38,2015-09-17
19.04107295908034,49.76975502446294,657.4,12:11:39,2015-09-17
19.04117999598384,49.76976198144257,656.5,12:11:40,2015-09-17
19.04124503955245,49.76980104111135,654.7,12:11:41,2015-09-17
19.041259037330747,49.76988703943789,651.8,12:11:42,2015-09-17
19.04135098680854,49.769985023885965,648.6,12:11:43,2015-09-17
19.041346041485667,49.77003296837211,647.0,12:11:44,2015-09-17
19.041402032598853,49.77012902498245,643.8,12:11:45,2015-09-17
19.041488030925393,49.770220974460244,640.9,12:11:46,2015-09-17
19.04156598262489,49.770325999706984,637.7,12:11:47,2015-09-17
19.041682993993163,49.770414009690285,635.1,12:11:48,2015-09-17
19.041982982307673,49.7705099824816,632.1,12:11:51,2015-09-17
19.04203997924924,49.77047301828861,633.7,12:11:52,2015-09-17
19.0421249717474,49.77051702328026,632.0,12:11:54,2015-09-17
19.04214500449598,49.770543007180095,631.0,12:11:55,2015-09-17
19.042175011709332,49.77057603187859,629.7,12:11:56,2015-09-17
19.04216503724456,49.7706119902432,628.3,12:11:57,2015-09-17
19.042091025039554,49.77060402743518,628.6,12:11:58,2015-09-17
19.042056994512677,49.7706030216068,628.6,12:12:07,2015-09-17
19.041966972872615,49.770587012171745,629.0,12:12:09,2015-09-17
19.041921962052584,49.77057100273669,629.5,12:12:10,2015-09-17
19.041882986202836,49.770543007180095,630.6,12:12:11,2015-09-17
19.04182699508965,49.770524986088276,631.1,12:12:12,2015-09-17
19.041756000369787,49.77051098830998,631.5,12:12:13,2015-09-17
19.04167897067964,49.770500008016825,631.8,12:12:14,2015-09-17
19.041575035080314,49.77049497887492,631.7,12:12:15,2015-09-17
19.041456012055278,49.77049397304654,631.5,12:12:16,2015-09-17
19.040978997945786,49.77063504047692,628.1,12:12:18,2015-09-17
19.040895011276007,49.77066898718476,627.6,12:12:19,2015-09-17
19.040914960205555,49.77073302492499,625.0,12:12:20,2015-09-17
19.041024008765817,49.77074098773301,623.7,12:12:21,2015-09-17
19.0409919898957,49.77078901603818,622.1,12:12:23,2015-09-17
19.041102966293693,49.77087803184986,617.7,12:12:24,2015-09-17
19.041165998205543,49.77093704044819,614.9,12:12:25,2015-09-17
19.041218971833587,49.77096696384251,613.2,12:12:26,2015-09-17
19.041274962946773,49.770993031561375,611.9,12:12:27,2015-09-17
19.041340006515384,49.771035024896264,610.4,12:12:28,2015-09-17
19.041379988193512,49.771057991310954,609.6,12:12:29,2015-09-17
19.041432961821556,49.77110903710127,607.7,12:12:30,2015-09-17
19.041509991511703,49.77114197798073,606.5,12:12:31,2015-09-17
19.04160998761654,49.771187994629145,604.8,12:12:32,2015-09-17
19.041782990098,49.77123602293432,603.2,12:12:33,2015-09-17
19.041921040043235,49.77128497324884,601.6,12:12:34,2015-09-17
19.04208499006927,49.77139201015234,597.9,12:12:35,2015-09-17
19.042186997830868,49.771422017365694,596.9,12:12:36,2015-09-17
19.042346002534032,49.77143500931561,596.4,12:12:37,2015-09-17
19.042453039437532,49.77145998738706,595.5,12:12:38,2015-09-17
19.042543983086944,49.7714770026505,594.9,12:12:39,2015-09-17
19.042653031647205,49.7714630048722,595.5,12:12:40,2015-09-17
19.042740035802126,49.77148395963013,594.7,12:12:41,2015-09-17
19.042845983058214,49.77147599682212,595.0,12:12:42,2015-09-17
19.042970035225153,49.771469039842486,594.8,12:12:43,2015-09-17
19.043057961389422,49.77145998738706,594.2,12:12:44,2015-09-17
19.043146977201104,49.771466022357345,593.0,12:12:45,2015-09-17
19.04319802299142,49.77148002013564,591.9,12:12:46,2015-09-17
19.043230041861534,49.77150298655033,590.7,12:12:47,2015-09-17
19.043321991339326,49.7715459857136,588.1,12:12:49,2015-09-17
19.04322400689125,49.77153701707721,589.4,12:12:50,2015-09-17
19.0431609749794,49.771555960178375,589.4,12:12:51,2015-09-17
19.043129961937666,49.77160801179707,587.6,12:12:52,2015-09-17
19.043058967217803,49.771641958504915,587.0,12:12:53,2015-09-17
19.04302703216672,49.771681018173695,585.8,12:12:54,2015-09-17
19.04287800192833,49.77171001955867,585.8,12:12:56,2015-09-17
19.042846988886595,49.77177103981376,583.4,12:12:57,2015-09-17
19.042844977229834,49.771810015663505,581.9,12:12:58,2015-09-17
19.042830979451537,49.77187103591859,579.5,12:12:59,2015-09-17
19.042823016643524,49.77191302925348,577.9,12:13:00,2015-09-17
